heldout_seed,regression_budget,selected_model,selected_rule,source_rows,source_recoveries,source_regressions,trials,baseline_acc,raw_router_acc,raw_router_delta,pairwise_gated_acc,pairwise_gated_delta,delta_vs_raw_router,raw_accepts,raw_recoveries,raw_regressions,pairwise_accepts,pairwise_recoveries,pairwise_regressions,recovery_retention,regression_retention
60603,0,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,1,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,2,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,3,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,4,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,5,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,6,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,8,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,10,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,12,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,15,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,20,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,25,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,30,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,40,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,60,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
60603,100,mathstral,always,93,54,0,592,0.24493243243243243,0.38006756756756754,0.13513513513513514,0.38006756756756754,0.13513513513513514,0.0,267,100,20,267,100,20,1.0,1.0
